id,path,canonical,transcript
DGB_7_NAM_S0003_164,audio_data/train/DGB_7_NAM_S0003_164.wav,tʰ ə-1 nz n ɔ-1 iz z o-1 ŋmz s ɨ-4 kz x w ɛ-3 f i-0 tʰ ɨə-1 ŋz ɗ aː-2 z u-4 pz z ə-0 nz z iə-5 tz t͡ɕ ɨ-1 ɲ iə-1 uz iə-0 uz k w aː-4 iz,tʰ ə-1 nz n ɔ-1 iz z o-1 ŋmz s ɨ-4 kz x w ɛ-3 f i-0 tʰ ɨə-1 ŋz ɗ aː-2 z u-4 pz z ə-0 nz z iə-5 tz t͡ɕ ɨ-1 ɲ iə-1 uz iə-0 uz k w aː-4 iz
DNK_7_NU_S0048_171,audio_data/train/DNK_7_NU_S0048_171.wav,ɓ aː-1 iz tʰ əː-0 t aː-3 z aː-4 ŋz v ɛ-3 k uə-3 m o-2 iz l w aː-1 iz t͡ɕ i-0 mz ɗ e-4 nz ɓ əː-1 t͡ɕ ɛ-0 x aː-4 kz ɲ a-0 uz tʰ e-4 n aː-1 uz,ɓ aː-1 iz tʰ əː-0 t aː-3 z aː-4 ŋz v ɛ-3 k uə-3 m o-2 iz l w aː-1 iz t͡ɕ i-0 mz ɗ e-4 nz ɓ əː-1 t͡ɕ ɛ-0 x aː-4 kz ɲ a-0 uz tʰ e-4 n aː-1 uz
GQM_Nam_6_S0006_40,audio_data/train/GQM_Nam_6_S0006_40.wav,t͡ɕ w o-5 tz m ɛ-5 l aː-0 l əː-4 nz ɲ ɨ-0 tʰ e-4 n aː-1 uz,t͡ɕ w o-5 tz m ɛ-5 l aː-0 l əː-4 nz ɲ ɨ-0 tʰ e-4 n aː-1 uz
PC_7_NAM_S0004_96,audio_data/train/PC_7_NAM_S0004_96.wav,t əː-4 z ə-4 tz tʰ i-4 k̟z v e-1 k w e-0,t əː-4 z ə-4 tz tʰ i-4 k̟z v e-1 k w e-0
NMA_7_NU_S0002_105,audio_data/train/NMA_7_NU_S0002_105.wav,ɲ ɨ-2 ŋz k ɔ-0 nz v ə-5 tz n aː-1 uz ɲ ɔ-3 n aː-1 uz k u-2 ŋmz ɗ ɨə-5 kz tʰ aː-0 ɗ i-5 uz h a-0 iz k ɔ-2 ŋmz m aː-1 f aː-3 iz t ɨ-5 ɗ i-0 tʰ ɛ-0 uz m ɛ-5,ɲ ɨ-2 ŋz k ɔ-0 nz v ə-5 tz n aː-1 uz ɲ ɔ-3 n aː-1 uz k u-2 ŋmz ɗ ɨə-5 kz tʰ aː-0 z i-5 uz h a-0 iz k ɔ-2 ŋmz m aː-1 f aː-3 iz t ɨ-5 ɗ i-0 tʰ ɛ-0 uz m ɛ-5
THA_Nu_6_S0001_16,audio_data/train/THA_Nu_6_S0001_16.wav,ɗ i-0 s ɛ-0 mz ɗ eaː-4 ŋ̟z k aː-4,ɗ i-0 s ɛ-0 mz ɗ eaː-4 ŋ̟z k aː-4
PTT_7_NU_S0041_153,audio_data/train/PTT_7_NU_S0041_153.wav,ɓ əː-3 iz v i-1 m uə-1 h ɛ-1 n e-4 uz ɗ ɨə-5 kz ŋ i-3 h ɛ-1,ɓ əː-3 iz v i-1 m uə-1 h ɛ-1 n e-4 uz ɗ ɨə-5 kz ŋ i-3 h ɛ-1
MK_7_NU_S0007_4,audio_data/train/MK_7_NU_S0007_4.wav,m ɛ-5 t əː-4 l aː-1 mz ɓ o-4 t əː-4 n ə-4 uz ɗ o-1 a-0 nz k w ɛ-4 tz z ɔ-5 nz ɲ aː-1 k ɨə-3,m ɛ-5 t əː-4 l aː-1 mz ɓ o-4 t əː-4 n ə-4 uz ɗ o-1 a-0 nz k w ɛ-4 tz z ɔ-5 nz ɲ aː-1 k ɨə-3
TPA_Nu_6_S0009_138,audio_data/train/TPA_Nu_6_S0009_138.wav,tʰ ə-4 iz k o-0 u-4 tz ɗ aː-0 ŋz ɲ aː-1 uz ɓ o-5 tz s ɔ-4 kpz k ɔ-0 nz v o-5 iz v aː-1 ŋz ɗ ɨə-0 tʰ ɨ-0 t͡ɕ ɔ-0 k o-0 u-4 tz,tʰ ə-4 iz k o-0 u-4 tz ɗ aː-0 ŋz ɲ aː-1 uz ɓ o-5 tz s ɔ-4 kpz k ɔ-0 nz v o-5 iz v aː-1 ŋz ɗ ɨə-0 tʰ ɨ-0 t͡ɕ ɔ-0 k o-0 u-4 tz
LDMT_Nam_6_S00047_7,audio_data/train/LDMT_Nam_6_S00047_7.wav,ɗ e-0 mz k w aː-0 ɛ-0 mz n a-1 mz m əː-0 z ɛ-4 pz t͡ɕ i-4 pz t͡ɕ i-4 pz k uə-3 ɛ-0 mz ɓ i-5 t͡ɕ ɔ-4 l u-0 tʰ aː-0 ɗ i-0,ɗ e-0 mz k w aː-0 ɛ-0 mz n a-1 mz m əː-0 z ɛ-4 pz t͡ɕ i-4 pz t͡ɕ i-4 pz k uə-3 ɛ-0 mz ɓ i-5 t͡ɕ ɔ-4 l u-0 tʰ aː-0 ɗ i-0
NTM_Nam_6_S00010_33,audio_data/train/NTM_Nam_6_S00010_33.wav,k aː-1 iz k aː-4 iz ɗ ɔ-3 ɗ ə-2 mz k aː-4 iz ɗ ɔ-3 a-2 mz ɛ-0 mz,k aː-1 iz k aː-4 iz ɗ ɔ-3 ɗ ə-2 mz k aː-4 iz ɗ ɔ-3 a-2 mz ɛ-0 mz
THA_7_NU_S0043_44,audio_data/train/THA_7_NU_S0043_44.wav,ŋ w iə-2 nz ŋ ɔ-5 kpz k i-4 l aː-1 t ə-4 mz ɣ ɨə-0 ŋz s aː-4 ŋz v e-1 ɓ i-4 t͡ɕ i-4 k w ə-5 tz x ɔ-4,ŋ w iə-2 nz ŋ ɔ-5 kpz k i-4 l aː-1 t ə-4 mz ɣ ɨə-0 ŋz s aː-4 ŋz v e-1 ɓ i-4 t͡ɕ i-4 k w ə-5 tz x ɔ-4
PTL_7_NU_S0008_176,audio_data/train/PTL_7_NU_S0008_176.wav,k aː-4 s ə-4 uz m ɛ-5 tʰ aː-0 t ɨ-1 ŋz ɗ ɨə-4 k ɔ-0 nz t͡ɕ ɔ-0 ŋmz m iə-5 ŋz ɗ e-4 nz n əː-0 iz n ɔ-4 m w o-4 nz m aː-1 x o-0 ŋmz l aː-1 mz ɗ a-0 uz k ɔ-0 nz,k aː-4 s ə-4 uz m ɛ-5 tʰ aː-0 t ɨ-1 ŋz ɗ ɨə-4 k ɔ-0 nz t͡ɕ ɔ-0 ŋmz m iə-5 ŋz ɗ e-4 nz n əː-0 iz n ɔ-4 m w o-4 nz m aː-1 x o-0 ŋmz l aː-1 mz ɗ a-0 uz k ɔ-0 nz
DNK_7_NU_S0048_2,audio_data/train/DNK_7_NU_S0048_2.wav,t əː-4 ɗ ɔ-5 kpz t͡ɕ ɨə-4 kz,t əː-4 ɗ ɔ-5 kpz t͡ɕ ɨə-4 kz
PC_7_NAM_S0004_85,audio_data/train/PC_7_NAM_S0004_85.wav,ɓ w o-3 iz ɲ ɨ-2 ŋz ɓ w o-3 iz t o-4 iz ŋ a-1 iz ŋ i-3 n ɔ-4 f u-0 nz l ɨə-3 z ə-4 tz ɗ ɛ-5 pz ɗ ə-4 iz,ɓ w o-3 iz ɲ ɨ-2 ŋz ɓ w o-3 iz t o-4 iz ŋ a-1 iz ŋ i-3 n ɔ-4 f u-0 nz l ɨə-3 z ə-4 tz ɗ ɛ-5 pz ɗ ə-4 iz
PTL_7_NU_S0008_37,audio_data/train/PTL_7_NU_S0008_37.wav,ɓ aː-5 nz tʰ ə-4 iz k ɔ-0 nz ɣ i-1 ɗ ə-1 uz t iə-0 nz,ɓ aː-5 nz tʰ ə-4 iz k ɔ-0 nz ɣ i-1 ɗ ə-1 uz t iə-0 nz
TTD_7_NAM_S0001_150,audio_data/train/TTD_7_NAM_S0001_150.wav,z o-1 iz ɓ ə-0 iz z əː-1 t o-0 iz h ɔ-3 iz k ə-5 uz ɲ əː-4 t͡ɕ ɔ-0 ŋmz ɓ aː-1 iz tʰ əː-0,z o-1 iz ɓ ə-0 iz z əː-1 t o-0 iz h ɔ-3 iz k ə-5 uz ɲ əː-4 t͡ɕ ɔ-0 ŋmz ɓ aː-1 iz tʰ əː-0
TPA_Nu_6_S0009_130,audio_data/train/TPA_Nu_6_S0009_130.wav,t͡ɕ i-5 h aː-0 iz əː-0 iz m ɛ-5 t͡ɕ i-5 ɗ aː-0 ŋz o-4 mz ɗ ə-4 iz t͡ɕ i-5 h a-2 iz v e-1 tʰ a-0 mz m ɛ-5 ɗ i-0 ŋ a-0 iz ɗ i-0,t͡ɕ i-5 h aː-0 iz əː-0 iz m ɛ-5 t͡ɕ i-5 ɗ aː-0 ŋz o-4 mz ɗ ə-4 iz t͡ɕ i-5 h a-2 iz v e-1 tʰ a-0 mz m ɛ-5 ɗ i-0 ŋ a-0 iz ɗ i-0
NMA_7_NU_S0002_153,audio_data/train/NMA_7_NU_S0002_153.wav,ɗ ə-0 iz ɗ ɔ-1 k ə-5 pz ɓ e-4 nz,ɗ ə-0 iz ɗ ɔ-1 k ə-5 pz ɓ e-4 nz
CNBA_Nu_6_S0003_97,audio_data/train/CNBA_Nu_6_S0003_97.wav,t əː-4 ɗ o-4 ŋ w iə-0 nz x aː-0 ŋz n aː-1 ŋz t iə-0 nz k aː-4 k ɔ-4 ɲ ɨ-2 ŋz ɣ i-1 h i-1 ŋ̟z z aː-5 ŋz ɣ i-1,t əː-4 ɗ o-4 ŋ w iə-0 nz x aː-0 ŋz l aː-1 ŋz t iə-0 nz k aː-4 k ɔ-4 ɲ ɨ-2 ŋz ɣ i-1 h i-1 ŋ̟z z aː-5 ŋz ɣ i-1
DNK_7_NU_S0048_240,audio_data/train/DNK_7_NU_S0048_240.wav,k aː-4 kz ɓ aː-5 nz ɗ aː-4 pz l aː-5 iz tʰ e-4 n aː-1 uz,k aː-4 kz ɓ aː-5 nz ɗ aː-4 pz l aː-5 iz tʰ e-4 n aː-1 uz
TTT_Nu_6_S00049_14,audio_data/train/TTT_Nu_6_S00049_14.wav,t əː-4 ɗ o-4 ɓ aː-5 nz,t əː-4 ɗ o-4 ɓ aː-5 nz
NMA_7_NU_S0002_140,audio_data/train/NMA_7_NU_S0002_140.wav,k ɔ-4 k ɔ-1 ɓ a-0 iz ŋ ɨə-5 kz z ɔ-4,k ɔ-4 k ɔ-1 ɓ a-0 iz ŋ ɨə-5 kz z ɔ-4
PTL_7_NU_S0008_174,audio_data/train/PTL_7_NU_S0008_174.wav,ɲ ɨ-0 ŋz t͡ɕ u-4 ŋmz ŋ w aː-5 mz z ə-4 tz x ɛ-4 uz ɗ e-3 x o-0 ŋmz l aː-1 mz ɗ a-0 uz k ɔ-0 nz z əː-0 iz k ɔ-0 nz,ɲ ɨ-0 ŋz t͡ɕ u-4 ŋmz ŋ w aː-5 mz z ə-4 tz x ɛ-4 uz ɗ e-3 x o-0 ŋmz l aː-1 mz ɗ a-0 uz k ɔ-0 nz z əː-0 iz k ɔ-0 nz
NMA_7_NU_S0002_209,audio_data/train/NMA_7_NU_S0002_209.wav,ɗ ɔ-5 kpz k ə-0 uz tʰ əː-0 s a-0 uz v aː-1 t͡ɕ ɔ-0 ɓ iə-4 tz k aː-4 kz h u-1 ŋmz v ɨə-0 ŋz l aː-1 aː-0 iz,ɗ ɔ-5 kpz k ə-0 uz tʰ əː-0 s a-0 uz v aː-1 t͡ɕ ɔ-0 ɓ iə-4 tz k aː-4 kz h u-1 ŋmz v ɨə-0 ŋz l aː-1 aː-0 iz
NTN_7_NU_S0042_16,audio_data/train/NTN_7_NU_S0042_16.wav,tʰ aː-3 uz ɲ i-0 əː-0 iz t͡ɕ ɨə-1 ŋz k uə-3 t͡ɕ u-4 ŋmz m i-1 ŋ̟z m aː-0 ŋz t e-0 nz m o-5 tz ŋ ɨə-1 iz eaː-0 ŋ̟z h u-1 ŋmz l iə-5 tz s i-2 ɗ ə-4 iz,tʰ aː-3 uz ɲ i-0 əː-0 iz t͡ɕ ɨə-1 ŋz k uə-3 t͡ɕ u-4 ŋmz m i-1 ŋ̟z m aː-0 ŋz t e-0 nz m o-5 tz ŋ ɨə-1 iz eaː-0 ŋ̟z h u-1 ŋmz l iə-5 tz s i-2 ɗ ə-4 iz
PTT_7_NU_S0041_44,audio_data/train/PTT_7_NU_S0041_44.wav,ɗ o-0 ŋmz k ə-1 mz t a-0 iz s w ə-0 nz ɓ aː-3 uz,ɗ o-0 ŋmz k ə-1 mz t a-0 iz s w ə-0 nz ɓ aː-3 uz
DNK_7_NU_S0048_273,audio_data/train/DNK_7_NU_S0048_273.wav,s aː-4 ŋz h o-0 mz s a-0 uz tʰ ə-4 iz s əː-0 nz k aː-0 ɗ aː-2 t͡ɕ e-4 tz,s aː-4 ŋz h o-0 mz s a-0 uz tʰ ə-4 iz s əː-0 nz k aː-0 ɗ aː-2 t͡ɕ e-4 tz
DNK_7_NU_S0048_313,audio_data/train/DNK_7_NU_S0048_313.wav,t əː-4 k u-2 ŋmz m w o-4 nz n ɔ-4 iz,t əː-4 k u-2 ŋmz m w o-4 nz n ɔ-4 iz
GQM_Nam_6_S0006_62,audio_data/train/GQM_Nam_6_S0006_62.wav,k ɔ-4 ɓ aː-1 t əː-4 o-0 ŋmz t əː-4 k ɔ-4 k aː-3 ɓ o-4 m ɛ-5 t əː-4,k ɔ-4 ɓ aː-1 t əː-4 o-0 ŋmz t əː-4 k ɔ-4 k aː-3 ɓ o-4 m ɛ-5 t əː-4
MK_7_NU_S0007_2,audio_data/train/MK_7_NU_S0007_2.wav,z aː-0 ɗ i-1 ŋ̟z k uə-3 t əː-4 k ɔ-4 ɓ o-4 nz ŋ ɨə-1 iz,z aː-0 ɗ i-1 ŋ̟z k uə-3 t əː-4 k ɔ-4 ɓ o-4 nz ŋ ɨə-1 iz
THA_7_NU_S0043_2,audio_data/train/THA_7_NU_S0043_2.wav,t͡ɕ u-4 ŋmz t o-0 iz z ə-4 tz ŋ aː-5 kz ɲ iə-0 nz,t͡ɕ u-4 ŋmz t o-0 iz z ə-4 tz ŋ aː-5 kz ɲ iə-0 nz
NMA_7_NU_S0002_274,audio_data/train/NMA_7_NU_S0002_274.wav,k w o-5 kpz tʰ i-0 ɗ ɨə-5 kz t o-3 t͡ɕ ɨ-4 kz t ɨ-1 n a-0 mz h aː-0 iz h aː-0 iz ŋ i-1 nz l i-0 ŋ̟z t aː-4 mz m o-2 iz n a-0 mz m o-5 tz l ə-1 nz,k w o-5 kpz tʰ i-0 ɗ ɨə-5 kz t o-3 t͡ɕ ɨ-4 kz t ɨ-1 l a-0 mz h aː-0 iz h aː-0 iz ŋ i-1 nz l i-0 ŋ̟z t aː-4 mz m o-2 iz l a-0 mz m o-5 tz l ə-1 nz
PC_7_NAM_S0004_26,audio_data/train/PC_7_NAM_S0004_26.wav,ɓ aː-1 iz tʰ əː-0 t aː-3 z aː-4 ŋz v ɛ-3 k uə-3 m o-2 iz l w aː-1 iz t͡ɕ i-0 mz ɗ e-4 nz ɓ əː-1 t͡ɕ ɛ-0 x aː-4 kz ɲ a-0 uz ɲ ɨ-0 tʰ e-4 n aː-1 uz,ɓ aː-1 iz tʰ əː-0 t aː-3 z aː-4 ŋz v ɛ-3 k uə-3 m o-2 iz l w aː-1 iz t͡ɕ i-0 mz ɗ e-4 nz ɓ əː-1 t͡ɕ ɛ-0 x aː-4 kz ɲ a-0 uz ɲ ɨ-0 tʰ e-4 n aː-1 uz
PTT_7_NU_S0041_39,audio_data/train/PTT_7_NU_S0041_39.wav,n aː-1 ŋz t iə-0 nz h aː-5 t ɨə-5 ŋz t͡ɕ ɨ-0 ŋz t͡ɕ ɔ-0 m uə-1 h aː-5,n aː-1 ŋz t iə-0 nz h aː-5 t ɨə-5 ŋz t͡ɕ ɨ-0 ŋz t͡ɕ ɔ-0 m uə-1 h aː-5
PTT_7_NU_S0041_75,audio_data/train/PTT_7_NU_S0041_75.wav,k ɔ-1 nz m uə-1 ɗ o-0 ŋmz ɗ aː-0 ŋz iə-0 uz l aː-1 ɓ əː-3 iz v i-1 m uə-1 ɗ aː-0 ŋz ə-4 pz k uə-3 m ə-1 mz s o-4 ŋmz ɗ e-3 ɗ e-3 s w ə-0 nz v e-1 k ə-0 iz k o-4 iz s ɛ-2 ɗ ə-0 mz t͡ɕ o-1 iz n a-3 iz l o-5 kpz,k ɔ-1 nz m uə-1 ɗ o-0 ŋmz ɗ aː-0 ŋz iə-0 uz l aː-1 ɓ əː-3 iz v i-1 m uə-1 ɗ aː-0 ŋz ə-4 pz k uə-3 m ə-1 mz s o-4 ŋmz ɗ e-3 ɗ e-3 s w ə-0 nz v e-1 k ə-0 iz k o-4 iz s ɛ-2 ɗ ə-0 mz t͡ɕ o-1 iz n a-3 iz l o-5 kpz
TPA_Nu_6_S0009_55,audio_data/train/TPA_Nu_6_S0009_55.wav,tʰ a-0 iz tʰ ɛ-0 uz t əː-4 k aː-4 kz i-0 ɗ u-4 ŋmz v əː-4 iz n o-5 iz z u-0 ŋmz t͡ɕ w iə-5 nz l aː-1,tʰ a-0 iz tʰ ɛ-0 uz t əː-4 k aː-4 kz i-0 ɗ u-4 ŋmz v əː-4 iz n o-5 iz z u-0 ŋmz t͡ɕ w iə-5 nz l aː-1
TPA_Nu_6_S0009_81,audio_data/train/TPA_Nu_6_S0009_81.wav,ŋ ɛ-0 t͡ɕ i-5 k aː-3 n ɔ-4 iz s ɔ-0 ŋmz s ɔ-4 kpz k ɔ-0 nz z ə-5 nz z ɨ-2 m a-4 ŋz t͡ɕ i-5 k aː-3,ŋ ɛ-0 t͡ɕ i-5 k aː-3 n ɔ-4 iz s ɔ-0 ŋmz s ɔ-4 kpz k ɔ-0 nz z ə-5 nz z ɨ-2 m a-4 ŋz t͡ɕ i-5 k aː-3
NNM_Nu_6_S00045_24,audio_data/train/NNM_Nu_6_S00045_24.wav,s e-0 k ɔ-4 m aː-4 ɓ ɛ-4 l e-0 t͡ɕ aː-3 s əː-5 n ɨə-2,s e-0 k ɔ-4 m aː-4 ɓ ɛ-4 l e-0 t͡ɕ aː-3 s əː-5 n ɨə-2
TPA_Nu_6_S0009_119,audio_data/train/TPA_Nu_6_S0009_119.wav,t͡ɕ i-5 k aː-3 əː-0 iz t͡ɕ i-5 v e-1 ɲ aː-1 ɗ i-0 m ɛ-5 t͡ɕ i-5 ɗ aː-0 ŋz o-4 mz ɗ ə-4 iz,t͡ɕ i-5 k aː-3 əː-0 iz t͡ɕ i-5 v e-1 ɲ aː-1 ɗ i-0 m ɛ-5 t͡ɕ i-5 ɗ aː-0 ŋz o-4 mz ɗ ə-4 iz
LDMT_Nam_6_S00047_47,audio_data/train/LDMT_Nam_6_S00047_47.wav,k ɔ-1 v ɨə-1 ŋ u-3,k ɔ-1 v ɨə-1 ŋ u-3
PTL_7_NU_S0008_72,audio_data/train/PTL_7_NU_S0008_72.wav,t͡ɕ u-4 ŋmz z u-1 ŋmz z a-0 ŋz ŋ w aː-5 mz t͡ɕ a-5 tz z aː-0 k o-3 k uə-3 k ɔ-0 nz z ɨ-2 k ɔ-0 nz l u-3 ŋmz l a-3 ŋz t͡ɕ e-0 nz s w o-4 tz ɗ ɨə-1 ŋz ɗ i-0,t͡ɕ u-4 ŋmz z u-1 ŋmz z a-0 ŋz ŋ w aː-5 mz t͡ɕ a-5 tz z aː-0 k o-3 k uə-3 k ɔ-0 nz z ɨ-2 k ɔ-0 nz l u-3 ŋmz l a-3 ŋz t͡ɕ e-0 nz s w o-4 tz ɗ ɨə-1 ŋz ɗ i-0
GQM_Nam_6_S0006_20,audio_data/train/GQM_Nam_6_S0006_20.wav,k ɔ-0 nz m aː-1 ɗ e-4 nz ɣ ə-1 nz n ɔ-4 s ɛ-2 a-0 nz tʰ i-5 tz ɗ ɔ-4,k ɔ-0 nz m aː-1 ɗ e-4 nz ɣ ə-1 nz n ɔ-4 s ɛ-2 a-0 nz tʰ i-5 tz ɗ ɔ-4
CNBA_Nu_6_S0003_75,audio_data/train/CNBA_Nu_6_S0003_75.wav,t əː-4 ɗ aː-2 ɲ i-1 nz tʰ ə-4 iz k aː-4 h ɛ-0 uz v aː-1 k uə-0,t əː-4 ɗ aː-2 ɲ i-1 nz tʰ ə-4 iz k aː-4 h ɛ-0 uz v aː-1 k uə-0
NTM_Nam_6_S00010_44,audio_data/train/NTM_Nam_6_S00010_44.wav,ɲ aː-1 ɓ aː-5 nz k ɔ-4 ɲ ɨ-2 ŋz k ɔ-0 nz v ə-5 tz ɣ i-1,ɲ aː-1 ɓ aː-5 nz k ɔ-4 ɲ ɨ-2 ŋz k ɔ-0 nz v ə-5 tz ɣ i-1
PTL_7_NU_S0008_178,audio_data/train/PTL_7_NU_S0008_178.wav,ɣ ə-4 uz t w i-4 k ɔ-0 nz t͡ɕ e-0 nz s a-4 uz tʰ aː-4 ŋz t w o-3 iz f aː-3 iz t ɨ-5 ɓ aː-4 mz t͡ɕ a-4 kz v aː-1 uz l ɨ-0 ŋz m ɛ-5 x i-0 m ɛ-5 z i-0 t͡ɕ w iə-3 nz,ɣ ə-4 uz t w i-4 k ɔ-0 nz t͡ɕ e-0 nz s a-4 uz tʰ aː-4 ŋz t w o-3 iz f aː-3 iz t ɨ-5 ɓ aː-4 mz t͡ɕ a-4 kz v aː-1 uz l ɨ-0 ŋz m ɛ-5 x i-0 m ɛ-5 z i-0 t͡ɕ w iə-3 nz
CNBA_Nu_6_S0003_62,audio_data/train/CNBA_Nu_6_S0003_62.wav,ɓ iə-3 nz ɗ ɛ-5 pz k w aː-4,ɓ iə-3 nz ɗ ɛ-5 pz k w aː-4
NMA_7_NU_S0002_221,audio_data/train/NMA_7_NU_S0002_221.wav,k ɛ-3 m iə-1 nz ɓ iə-3 nz ŋ ɨə-1 iz m iə-1 nz n w i-4 x i-0 k ɔ-4 v iə-5 kz tʰ i-1 z u-4 pz ɗ əː-2 l ə-2 nz ɲ a-0 uz,k ɛ-3 m iə-1 nz ɓ iə-3 nz ŋ ɨə-1 iz m iə-1 nz l w i-4 x i-0 k ɔ-4 v iə-5 kz tʰ i-1 z u-4 pz ɗ əː-2 l ə-2 nz ɲ a-0 uz
TTD_7_NAM_S0001_15,audio_data/train/TTD_7_NAM_S0001_15.wav,t ɨ-1 t ɨ-1 m a-4 tz m a-4 tz ɗ ɛ-0 nz m aː-4 tz z i-5 uz v aː-1 ŋz,t ɨ-1 t ɨ-1 m a-4 tz m a-4 tz ɗ ɛ-0 nz m aː-4 tz z i-5 uz v aː-1 ŋz
NHM_7_NU_S0006_60,audio_data/train/NHM_7_NU_S0006_60.wav,m ɨə-0 z ə-1 mz ɗ e-1 m ɨə-0 s ɨə-4 tz m ɨə-4 tz ŋ a-1 iz n a-1 iz k w aː-0 ŋ a-1 iz x aː-4 kz,m ɨə-0 z ə-1 mz ɗ e-1 m ɨə-0 s ɨə-4 tz m ɨə-4 tz ŋ a-1 iz n a-1 iz k w aː-0 ŋ a-1 iz x aː-4 kz
